OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
0a70dd05-f0ca-44ef-aac7-2610290de0ef,BTC-SNT,LIMIT_BUY,225,0.00001055,0.00000593,0.00237375,8/31/17 19:30,8/31/17 19:30
82ca5ce8-9c61-4d58-b346-af01ef59bb9c,BTC-NAV,LIMIT_SELL,450,0.00019,0.00021892,0.08757,8/31/17 19:18,8/31/17 19:40
ec0dfe80-0012-4f97-8bc3-46bee031011a,BTC-NAV,LIMIT_BUY,10,0.00015008,0.00000375,0.0015008,8/31/17 4:53,8/31/17 4:53
818011bf-21d8-4cf2-9acf-7206ca9c5570,BTC-BAT,LIMIT_SELL,60,0.00005205,0.0000078,0.003123,8/31/17 4:50,8/31/17 4:50
ef7269eb-51ea-4cef-a7ab-bae59eb15754,BTC-NAV,LIMIT_BUY,565,0.00014899,0.00021044,0.08417935,8/31/17 4:44,8/31/17 4:44
3fba3cc0-bfd3-4828-877b-9e1063052cc6,BTC-PAY,LIMIT_SELL,50,0.00091547,0.00011443,0.0457735,8/31/17 4:35,8/31/17 4:35
b3e4af07-3056-45c1-959d-1e61046ae303,BTC-MCO,LIMIT_SELL,10,0.00385011,0.0000975,0.0390001,8/31/17 4:34,8/31/17 4:34
b260af1b-1899-486e-9e0f-ee95dfa8ce06,BTC-NAV,LIMIT_BUY,375,0.00012995,0.00012182,0.04873125,8/31/17 0:47,8/31/17 0:47
ef3dc9eb-586a-41a8-bef0-aa03fae360a5,BTC-MCO,LIMIT_BUY,10,0.00386889,0.00009672,0.0386889,8/30/17 23:04,8/30/17 23:04
285cb3f3-db3d-44ce-8062-6ef78a0803e4,BTC-OMG,LIMIT_BUY,30,0.00236873,0.00017765,0.0710619,8/30/17 17:28,8/30/17 17:28
35ef3fa0-60c1-443a-91fc-cc5f0faf785d,BTC-NEO,LIMIT_SELL,13,0.00785999,0.00025542,0.10217987,8/30/17 16:42,8/30/17 16:42
e6222ff2-6fd5-44a9-ad4d-6eeaa09ce9e0,BTC-REP,LIMIT_BUY,3,0.00539773,0.00004045,0.01618533,8/30/17 16:23,8/30/17 16:23
db06f74d-003b-457b-8a25-76252d47d948,BTC-MCO,LIMIT_SELL,6.07779806,0.0041,0.00006336,0.02534796,8/30/17 16:14,8/30/17 16:15
8a7c24bb-2181-41eb-8f67-5b5c39d359e0,BTC-PAY,LIMIT_BUY,50,0.00089556,0.00011194,0.044778,8/30/17 13:10,8/30/17 13:10
f858b65a-c558-46df-83f7-f5d2a04cdcf2,BTC-OMG,LIMIT_SELL,20,0.002324,0.00011624,0.04649795,8/30/17 3:57,8/30/17 3:57
ce9404af-9084-410f-98ce-64e211bd0ea5,ETH-MCO,LIMIT_BUY,0.40681985,0.054,0.00005492,0.02196827,8/29/17 20:12,8/29/17 20:12
ac5c85c4-e8fe-4d5f-9d95-a375d1d17b80,BTC-MCO,LIMIT_BUY,5.67097821,0.00460003,0.00006521,0.02608666,8/29/17 20:10,8/29/17 20:10
2cba07e3-dcf2-4515-882a-1127a9508bc1,BTC-WAVES,LIMIT_SELL,20,0.00116,0.00005798,0.02320013,8/29/17 20:08,8/29/17 20:08
55597d1f-369d-42b4-932a-f38b0b70fd57,BTC-REP,LIMIT_BUY,2,0.00546476,0.00002732,0.01092952,8/29/17 16:50,8/29/17 16:50
e35ae26a-6bec-4802-9c85-567c0acabbda,BTC-LSK,LIMIT_SELL,10,0.001369,0.00003422,0.01369,8/29/17 16:49,8/29/17 16:49
7b0a9814-47de-42f8-b43d-c1e78a91a76e,BTC-WAVES,LIMIT_BUY,21,0.00119129,0.00006254,0.02501709,8/28/17 5:59,8/28/17 5:59
b34a86f6-fa61-4696-b5c7-92e2e9b7ebef,BTC-WAVES,LIMIT_BUY,28,0.00121052,0.00008473,0.03389456,8/25/17 15:15,8/25/17 15:15
cc597fa8-7ac1-455e-adc9-22159082b99f,BTC-MCO,LIMIT_SELL,15,0.002148,0.00008054,0.03221999,8/25/17 15:14,8/25/17 15:14
e51a3ef5-a4f3-4f69-9fb4-ec0f602197c1,BTC-MCO,LIMIT_SELL,15,0.00226038,0.00008476,0.0339057,8/25/17 3:42,8/25/17 3:42
4a4b8d0b-36a2-406e-962e-21186f3610b4,BTC-WAVES,LIMIT_BUY,4,0.00116177,0.00001161,0.00464708,8/25/17 3:39,8/25/17 3:39
196cf46e-6837-418b-9d6f-9aa059654cfb,BTC-QTUM,LIMIT_BUY,10,0.00312899,0.00007822,0.0312899,8/25/17 2:59,8/25/17 2:59
a3ca8f63-597c-4c86-b61b-d57dc9e596cb,BTC-MCO,LIMIT_SELL,10.00000962,0.00228464,0.00005711,0.02284642,8/25/17 2:57,8/25/17 2:57
744818fc-7d2d-43f6-b796-b5d028f6eccb,BTC-LSK,LIMIT_SELL,14.70099651,0.00089109,0.00003274,0.01309991,8/25/17 2:39,8/25/17 2:39
f0fd747e-e193-4b2f-ac25-c8c17085b6fa,BTC-LSK,LIMIT_BUY,64.70099651,0.00089903,0.00014542,0.05816813,8/24/17 18:39,8/24/17 18:39
a2b63129-310b-44ee-aab2-beac8b261d32,BTC-ETH,LIMIT_SELL,0.76656329,0.07656103,0.00014672,0.05868887,8/24/17 18:38,8/24/17 18:38
fc65a12b-afe4-4900-b4cf-f78304d8a853,BTC-MCO,LIMIT_BUY,6.59500962,0.00182,0.00003,0.01200291,8/18/17 16:30,8/18/17 16:30
b0779d8a-33a8-4ff4-9394-c09d9b41bdd2,BTC-CVC,LIMIT_SELL,100.0092394,0.00012062,0.00003015,0.0120631,8/18/17 16:26,8/18/17 16:26
468cc03a-11b8-4134-8ceb-7e80c0789cb8,BTC-CVC,LIMIT_BUY,35.65900568,0.000154,0.00001372,0.00549148,8/14/17 21:55,8/14/17 21:55
